update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
54300,843,15,0,0
54400,924,11,0,0
54500,926,15,0,0
54600,856,6,0,0
54700,852,3,0,0
54800,897,13,0,0
54900,910,8,0,0
55000,925,12,0,0
55100,888,10,0,0
55200,870,4,0,0
55300,843,3,0,0
55400,842,10,0,0
55500,841,16,0,0
55600,827,3,0,0
55700,836,10,0,0
55800,844,5,0,0
55900,827,3,0,0
56000,811,10,0,0
56100,819,11,0,0
56200,856,7,0,0
56300,842,12,0,0
56400,884,9,0,0
56500,874,11,0,0
56600,872,7,0,0
56700,857,6,0,0
56800,890,10,0,0
56900,865,4,0,0
57000,849,10,0,0
57100,900,6,0,0
57200,894,12,0,0
57300,937,4,0,0
57400,973,14,0,0
57500,969,6,0,0
57600,949,9,0,0
57700,913,8,0,0
57800,896,5,0,0
57900,876,12,0,0
58000,880,4,0,0
58100,839,4,0,0
58200,861,7,0,0
58300,908,15,0,0
58400,894,6,0,0
58500,848,6,0,0
58600,838,11,0,0
58700,849,9,0,0
58800,824,6,0,0
58900,769,13,0,0
59000,756,9,0,0
59100,765,5,0,0
59200,758,13,0,0
59300,754,13,0,0
59400,768,7,0,0
59500,779,7,0,0
59600,789,9,0,0
59700,809,8,0,0
59800,774,11,0,0
59900,783,11,0,0
60000,833,4,0,0
60100,838,13,0,0
60200,808,5,0,0
60300,774,7,0,0
60400,736,8,0,0
60500,720,14,0,0
60600,729,7,0,0
60700,739,4,0,0
60800,757,11,0,0
60900,709,10,0,0
61000,718,8,0,0
61100,733,7,0,0
61200,704,10,0,0
61300,703,8,0,0
61400,677,6,0,0
61500,655,5,0,0
61600,655,7,0,0
61700,670,8,0,0
61800,675,7,0,0
61900,640,6,0,0
62000,637,16,0,0
62100,641,2,0,0
62200,616,9,0,0
62300,606,6,0,0
62400,655,15,0,0
62500,687,10,0,0
62600,673,6,0,0
62700,674,13,0,0
62800,730,15,0,0
62900,727,15,0,0
63000,746,17,0,0
63100,789,15,0,0
63200,837,11,0,0
63300,837,8,0,0
63400,823,5,0,0
63500,774,8,0,0
63600,728,12,0,0
63700,730,12,0,0
63800,740,5,0,0
63900,730,9,0,0
64000,701,11,0,0
64100,718,14,0,0
64200,753,6,0,0
64300,707,9,0,0
64400,668,10,0,0
64500,667,15,0,0
64600,678,9,0,0
64700,679,10,0,0
64800,681,7,0,0
64900,687,11,0,0
65000,689,11,0,0
65100,657,19,0,0
65200,687,6,0,0
65300,651,6,0,0
65400,651,14,0,0
65500,660,16,0,0
65600,638,15,0,0
65700,599,7,0,0
65800,567,15,0,0
65900,584,8,0,0
66000,601,11,0,0
66100,617,12,0,0
66200,636,11,0,0
66300,621,15,0,0
66400,655,9,0,0
66500,655,10,0,0
66600,642,6,0,0
66700,617,5,0,0
66800,612,15,0,0
66900,679,9,0,0
67000,611,10,0,0
67100,613,10,0,0
67200,593,9,0,0
67300,595,13,0,0
67400,618,14,0,0
67500,665,12,0,0
67600,656,8,0,0
67700,665,9,0,0
67800,679,8,0,0
67900,684,9,0,0
68000,692,3,0,0
68100,700,5,0,0
68200,683,6,0,0
68300,656,5,0,0
68400,607,14,0,0
68500,601,10,0,0
68600,625,6,0,0
68700,625,4,0,0
68800,682,8,0,0
68900,658,12,0,0
69000,645,8,0,0
69100,685,13,0,0
69200,703,6,0,0
69300,702,11,0,0
69400,680,7,0,0
69500,657,11,0,0
69600,657,11,0,0
69700,640,6,0,0
69800,650,14,0,0
69900,651,5,0,0
70000,667,12,0,0
70100,707,12,0,0
70200,713,9,0,0
70300,708,15,0,0
70400,735,9,0,0
70500,690,10,0,0
70600,692,11,0,0
70700,685,6,0,0
70800,632,3,0,0
70900,608,12,0,0
71000,625,12,0,0
71100,644,12,0,0
71200,644,10,0,0
71300,657,13,0,0
71400,693,14,0,0
71500,648,6,0,0
71600,639,6,0,0
71700,630,11,0,0
71800,622,7,0,0
71900,640,3,0,0
72000,651,6,0,0
72100,662,8,0,0
72200,673,9,0,0
