uid treatment rep update steal_count donate_count difference diff_per_org
VT0_1 VT0 1 17300 15629 11353 -4276 -0.7588287488908607
VT0_1 VT0 1 17400 15467 11402 -4065 -0.7174373455700671
VT0_1 VT0 1 17500 15532 10867 -4665 -0.8213028169014085
VT0_1 VT0 1 17600 15718 10271 -5447 -0.9567890391709116
VT0_1 VT0 1 17700 16119 11550 -4569 -0.8068161751721702
VT0_1 VT0 1 17800 16274 12018 -4256 -0.7503526093088858
VT0_1 VT0 1 17900 15983 12739 -3244 -0.5690229784248377
VT0_1 VT0 1 18000 16726 12653 -4073 -0.7062597537714583
VT0_1 VT0 1 18100 16933 12518 -4415 -0.7641052267220492
VT0_1 VT0 1 18200 16684 12448 -4236 -0.748939179632249
VT0_1 VT0 1 18300 16111 11886 -4225 -0.7372186354911883
VT0_1 VT0 1 18400 15715 11151 -4564 -0.8052223006351447
VT0_1 VT0 1 18500 15732 11032 -4700 -0.8247060887875066
VT0_1 VT0 1 18600 16471 11239 -5232 -0.9026915113871635
VT0_1 VT0 1 18700 16855 11728 -5127 -0.8896408120770432
VT0_1 VT0 1 18800 17172 11826 -5346 -0.9570354457572503
VT0_1 VT0 1 18900 17184 11915 -5269 -0.9149157839902761
VT0_1 VT0 1 19000 17297 11577 -5720 -0.984001376225701
VT0_1 VT0 1 19100 16275 11449 -4826 -0.8413528591352859
VT0_1 VT0 1 19200 16088 11203 -4885 -0.8504526462395543
VT0_1 VT0 1 19300 15766 10978 -4788 -0.8232462173314993
VT0_1 VT0 1 19400 16663 11958 -4705 -0.8231280615815255
VT0_1 VT0 1 19500 17432 12765 -4667 -0.8086986657425056
VT0_1 VT0 1 19600 16632 13357 -3275 -0.5736556314590997
VT0_1 VT0 1 19700 16418 11785 -4633 -0.8079874433205442
VT0_1 VT0 1 19800 15998 11634 -4364 -0.7524137931034482
VT0_1 VT0 1 19900 16056 10777 -5279 -0.9180869565217391
VT0_1 VT0 1 20000 16820 11547 -5273 -0.9294905693636524
VT0_1 VT0 1 20100 16500 11654 -4846 -0.8410274210343631
VT0_1 VT0 1 20200 15935 11472 -4463 -0.799391008418413
VT0_1 VT0 1 20300 15789 11325 -4464 -0.7779714186127571
VT0_1 VT0 1 20400 16786 11435 -5351 -0.939266280498508
VT0_1 VT0 1 20500 16996 11936 -5060 -0.8697146785837058
VT0_1 VT0 1 20600 17070 12126 -4944 -0.8718039146535003
VT0_1 VT0 1 20700 15838 11094 -4744 -0.8133036173495628
VT0_1 VT0 1 20800 16360 11961 -4399 -0.7554525158852825
VT0_1 VT0 1 20900 17418 11773 -5645 -0.9938380281690141
VT0_1 VT0 1 21000 16648 11657 -4991 -0.8683020180932498
VT0_1 VT0 1 21100 15951 11098 -4853 -0.8453231144399931
VT0_1 VT0 1 21200 15823 11591 -4232 -0.7361280222647417
VT0_1 VT0 1 21300 15759 11711 -4048 -0.7145631067961165
VT0_1 VT0 1 21400 16726 12215 -4511 -0.8002483590562356
VT0_1 VT0 1 21500 15824 12082 -3742 -0.6579919113768243
VT0_1 VT0 1 21600 15938 11498 -4440 -0.7896140850080029
VT0_1 VT0 1 21700 16804 11402 -5402 -0.9498857042377352
VT0_1 VT0 1 21800 16219 11782 -4437 -0.7689774696707106
VT0_1 VT0 1 21900 16068 12724 -3344 -0.5939609236234459
VT0_1 VT0 1 22000 15315 11424 -3891 -0.6777564884166521
VT0_1 VT0 1 22100 15083 11429 -3654 -0.6258992805755396
VT0_1 VT0 1 22200 15290 11611 -3679 -0.633654839820875
VT0_1 VT0 1 22300 15944 11491 -4453 -0.783565018476157
VT0_1 VT0 1 22400 15646 12565 -3081 -0.5403367239565064
VT0_1 VT0 1 22500 15561 11738 -3823 -0.6817047075606276
VT0_1 VT0 1 22600 16572 12331 -4241 -0.745604781997187
VT0_1 VT0 1 22700 15808 11779 -4029 -0.7114603567013951
VT0_1 VT0 1 22800 16242 11832 -4410 -0.7661570535093816
VT0_1 VT0 1 22900 15729 10809 -4920 -0.8553546592489569
VT0_1 VT0 1 23000 15829 10899 -4930 -0.8459162663006177
VT0_1 VT0 1 23100 16295 12664 -3631 -0.6356792717086834
VT0_1 VT0 1 23200 16178 12048 -4130 -0.7244343097702157
VT0_1 VT0 1 23300 17002 11285 -5717 -1.0066913188941715
VT0_1 VT0 1 23400 16954 12115 -4839 -0.838067197783166
VT0_1 VT0 1 23500 17691 11541 -6150 -1.072923935799023
VT0_1 VT0 1 23600 17591 11799 -5792 -1.01882145998241
VT0_1 VT0 1 23700 16034 12867 -3167 -0.5583568406205924
VT0_1 VT0 1 23800 16769 13120 -3649 -0.645041541453067
VT0_1 VT0 1 23900 16366 13426 -2940 -0.5113932857888328
VT0_1 VT0 1 24000 16515 12504 -4011 -0.6990240501917044
VT0_1 VT0 1 24100 16446 12047 -4399 -0.7625238342867048
VT0_1 VT0 1 24200 16337 11593 -4744 -0.8454820887542328
VT0_1 VT0 1 24300 16945 11924 -5021 -0.8850696280627534
VT0_1 VT0 1 24400 16610 12027 -4583 -0.8121566542619174
VT0_1 VT0 1 24500 16749 11991 -4758 -0.842720510095643
VT0_1 VT0 1 24600 16661 11887 -4774 -0.8304052878761524
VT0_1 VT0 1 24700 16226 11482 -4744 -0.8377185237506622
VT0_1 VT0 1 24800 16209 12385 -3824 -0.657157587214298
VT0_1 VT0 1 24900 16076 11534 -4542 -0.7816210635002582
VT0_1 VT0 1 25000 17097 11416 -5681 -0.9772922759332531
VT0_1 VT0 1 25100 16851 12428 -4423 -0.778149190710767
VT0_1 VT0 1 25200 16094 12336 -3758 -0.6477076870044812
VT0_1 VT0 1 25300 15676 12262 -3414 -0.6023288637967537
VT0_1 VT0 1 25400 16635 11581 -5054 -0.8800278600034825
VT0_1 VT0 1 25500 15879 11526 -4353 -0.7689454160042395
VT0_1 VT0 1 25600 15897 11413 -4484 -0.7836420831876966
VT0_1 VT0 1 25700 16868 11218 -5650 -0.9663075081238242
VT0_1 VT0 1 25800 16110 11241 -4869 -0.8596398305084746
VT0_1 VT0 1 25900 15592 11460 -4132 -0.7168632893823733
VT0_1 VT0 1 26000 15965 10845 -5120 -0.8936987257811136
VT0_1 VT0 1 26100 15192 10756 -4436 -0.7837455830388692
VT0_1 VT0 1 26200 14945 11215 -3730 -0.6558818357657816
VT0_1 VT0 1 26300 15467 11444 -4023 -0.6992873283504258
VT0_1 VT0 1 26400 15587 11679 -3908 -0.6760076111399412
VT0_1 VT0 1 26500 16119 12071 -4048 -0.7207977207977208
VT0_1 VT0 1 26600 15201 12271 -2930 -0.5130450008755034
VT0_1 VT0 1 26700 16229 11425 -4804 -0.8382481242366079
VT0_1 VT0 1 26800 16575 11169 -5406 -0.9437849162011173
VT0_1 VT0 1 26900 15585 12010 -3575 -0.632183908045977
VT0_1 VT0 1 27000 14095 11221 -2874 -0.49904497308560514
VT0_1 VT0 1 27100 14752 11749 -3003 -0.5238095238095238
VT0_1 VT0 1 27200 15149 12756 -2393 -0.4163187195546277
VT0_1 VT0 1 27300 15678 12369 -3309 -0.5817510548523207
VT0_1 VT0 1 27400 15556 11601 -3955 -0.695323488045007
VT0_1 VT0 1 27500 15859 10912 -4947 -0.8560304550960374
VT0_1 VT0 1 27600 15709 11797 -3912 -0.6863157894736842
VT0_1 VT0 1 27700 15068 11136 -3932 -0.6958060520261901
VT0_1 VT0 1 27800 16154 11902 -4252 -0.7410247472987104
VT0_1 VT0 1 27900 16619 11843 -4776 -0.851944345344274
VT0_1 VT0 1 28000 16054 11078 -4976 -0.849871904355252
VT0_1 VT0 1 28100 16205 11003 -5202 -0.903281819760375
VT0_1 VT0 1 28200 16830 11491 -5339 -0.9407929515418503
VT0_1 VT0 1 28300 16909 11932 -4977 -0.8731578947368421
VT0_1 VT0 1 28400 16168 11168 -5000 -0.870928409684724
VT0_1 VT0 1 28500 17063 11385 -5678 -0.998768689533861
VT0_1 VT0 1 28600 16408 11894 -4514 -0.7968225948808473
VT0_1 VT0 1 28700 16160 11974 -4186 -0.7254766031195841
VT0_1 VT0 1 28800 16437 12300 -4137 -0.7352052603518748
VT0_1 VT0 1 28900 15968 12076 -3892 -0.6853319246346188
VT0_1 VT0 1 29000 16440 12062 -4378 -0.7745930644019816
VT0_1 VT0 1 29100 17051 11451 -5600 -0.9773123909249564
VT0_1 VT0 1 29200 16568 11941 -4627 -0.8091990206365862
VT0_1 VT0 1 29300 16720 12788 -3932 -0.6981534090909091
VT0_1 VT0 1 29400 17666 12156 -5510 -0.9702412396548689
VT0_1 VT0 1 29500 16903 11866 -5037 -0.8781380753138075
VT0_1 VT0 1 29600 15349 11344 -4005 -0.6954332349366209
VT0_1 VT0 1 29700 15474 11454 -4020 -0.7121346324180691
VT0_1 VT0 1 29800 14662 11325 -3337 -0.5892636411795867
VT0_1 VT0 1 29900 16262 11168 -5094 -0.8874564459930313
VT0_1 VT0 1 30000 16054 11408 -4646 -0.8240510819439517
VT0_1 VT0 1 30100 16234 11427 -4807 -0.8409727081875438
VT0_1 VT0 1 30200 16865 11794 -5071 -0.8797709923664122
VT0_1 VT0 1 30300 17178 11812 -5366 -0.9381118881118881
VT0_1 VT0 1 30400 16441 12237 -4204 -0.7401408450704225
VT0_1 VT0 1 30500 16636 11549 -5087 -0.8860825640132381
VT0_1 VT0 1 30600 16221 11857 -4364 -0.7715700141442716
VT0_1 VT0 1 30700 16507 12280 -4227 -0.7330905306971904
VT0_1 VT0 1 30800 15626 12242 -3384 -0.5856697819314641
VT0_1 VT0 1 30900 15924 12104 -3820 -0.6690017513134852
VT0_1 VT0 1 31000 16021 12469 -3552 -0.6178465820142633
VT0_1 VT0 1 31100 16411 11328 -5083 -0.8877052043311212
VT0_1 VT0 1 31200 15793 11283 -4510 -0.7839388145315488
VT0_1 VT0 1 31300 16203 10752 -5451 -0.9554776511831726
VT0_1 VT0 1 31400 15984 11690 -4294 -0.7443231062575837
VT0_1 VT0 1 31500 16859 11272 -5587 -0.9883247833009021
VT0_1 VT0 1 31600 16826 11940 -4886 -0.8457676994980093
VT0_1 VT0 1 31700 16783 11466 -5317 -0.9248564967820491
VT0_1 VT0 1 31800 17161 11130 -6031 -1.0545549921314916
VT0_1 VT0 1 31900 16406 11245 -5161 -0.9008552976086577
VT0_1 VT0 1 32000 16811 12000 -4811 -0.8336510136891353
VT0_1 VT0 1 32100 16612 12933 -3679 -0.6313712030204222
VT0_1 VT0 1 32200 16321 12008 -4313 -0.7506091193873999
VT0_1 VT0 1 32300 16012 11395 -4617 -0.8177470775770457
VT0_1 VT0 1 32400 15352 12243 -3109 -0.5448650543287767
VT0_1 VT0 1 32500 15331 12430 -2901 -0.5068134171907757
VT0_1 VT0 1 32600 15968 12121 -3847 -0.6872097177563415
VT0_1 VT0 1 32700 15797 12192 -3605 -0.6276114206128134
VT0_1 VT0 1 32800 15767 12233 -3534 -0.6184809240462024
VT0_1 VT0 1 32900 15124 11834 -3290 -0.576485018398458
VT0_1 VT0 1 33000 15453 11901 -3552 -0.6191389227819418
VT0_1 VT0 1 33100 16145 11246 -4899 -0.848605577689243
VT0_1 VT0 1 33200 15902 11333 -4569 -0.7944705268648931
VT0_1 VT0 1 33300 16642 11073 -5569 -0.9895167022032694
VT0_1 VT0 1 33400 16454 11357 -5097 -0.890461215932914
VT0_1 VT0 1 33500 16983 11714 -5269 -0.9211538461538461
VT0_1 VT0 1 33600 16989 11192 -5797 -1.0039833737443713
