update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
33200,2216,801,0,0
33300,2287,837,0,0
33400,2524,930,0,0
33500,2152,788,0,0
33600,1925,683,0,0
33700,2126,723,0,0
33800,2026,715,0,0
33900,2140,759,0,0
34000,2105,749,0,0
34100,2200,787,0,0
34200,2266,758,0,0
34300,1997,704,0,0
34400,1830,642,0,0
34500,2159,735,0,0
34600,2380,805,0,0
34700,1755,572,0,0
34800,1925,648,0,0
34900,2324,742,0,0
35000,2158,718,0,0
35100,2103,638,0,0
35200,2346,794,0,0
35300,1937,680,0,0
35400,1762,594,0,0
35500,1562,528,0,0
35600,1470,460,0,0
35700,1615,504,0,0
35800,2017,587,0,0
35900,1837,590,0,0
36000,1557,483,0,0
36100,1900,617,0,0
36200,1864,546,0,0
36300,1890,600,0,0
36400,2557,776,0,0
36500,2118,658,0,0
36600,1582,444,0,0
36700,1617,521,0,0
36800,1731,548,0,0
36900,1421,407,0,0
37000,1650,495,0,0
37100,1541,499,0,0
37200,1792,511,0,0
37300,1508,419,0,0
37400,1571,452,0,0
37500,1620,502,0,0
37600,1705,517,0,0
37700,1450,444,0,0
37800,1209,337,0,0
37900,1135,325,0,0
38000,1553,474,0,0
38100,1922,598,0,0
38200,1560,438,0,0
38300,1464,423,0,0
38400,1435,425,0,0
38500,1333,378,0,0
38600,1667,480,0,0
38700,1658,446,0,0
38800,1500,418,0,0
38900,1637,476,0,0
39000,1324,384,0,0
39100,1531,437,0,0
39200,1384,411,0,0
39300,1503,444,0,0
39400,1357,372,0,0
39500,1432,379,0,0
39600,1321,369,0,0
39700,1566,452,0,0
39800,1509,420,0,0
39900,1396,383,0,0
40000,1157,324,0,0
40100,1342,353,0,0
40200,1759,486,0,0
40300,1425,407,0,0
40400,1460,390,0,0
40500,1532,423,0,0
40600,1601,463,0,0
40700,1855,535,0,0
40800,1675,514,0,0
40900,1780,493,0,0
41000,1621,460,0,0
41100,1295,368,0,0
41200,1313,375,0,0
41300,1637,473,0,0
41400,1733,472,0,0
41500,1832,519,0,0
41600,1554,446,0,0
41700,1586,441,0,0
41800,1426,400,0,0
41900,1396,358,0,0
42000,1782,516,0,0
42100,1760,530,0,0
42200,1578,450,0,0
42300,1486,412,0,0
42400,1380,391,0,0
42500,1361,357,0,0
42600,1763,483,0,0
42700,1832,509,0,0
42800,1673,469,0,0
42900,1591,403,0,0
43000,1203,286,0,0
43100,1302,345,0,0
43200,1299,323,0,0
43300,1119,301,0,0
43400,1200,315,0,0
43500,1318,353,0,0
43600,1748,424,0,0
43700,1412,385,0,0
43800,1605,408,0,0
43900,1498,348,0,0
44000,1561,377,0,0
44100,1429,357,0,0
44200,1475,374,0,0
44300,1215,292,0,0
44400,1414,342,0,0
44500,1537,402,0,0
44600,1595,461,0,0
44700,1829,482,0,0
44800,1478,396,0,0
44900,1728,477,0,0
45000,1708,440,0,0
45100,1183,292,0,0
45200,1216,276,0,0
45300,1710,445,0,0
45400,1671,426,0,0
45500,1724,464,0,0
45600,1343,336,0,0
45700,1322,327,0,0
45800,1323,331,0,0
45900,1450,343,0,0
46000,1610,364,0,0
46100,1325,345,0,0
46200,1080,265,0,0
46300,1378,354,0,0
46400,1191,303,0,0
46500,1201,305,0,0
46600,1372,329,0,0
46700,1171,313,0,0
46800,1297,326,0,0
46900,1096,265,0,0
47000,1475,394,0,0
47100,1583,399,0,0
47200,1483,395,0,0
47300,1769,440,0,0
47400,1633,408,0,0
47500,1507,391,0,0
47600,1286,337,0,0
47700,1488,399,0,0
47800,1811,436,0,0
47900,1242,340,0,0
48000,1304,338,0,0
48100,1477,411,0,0
48200,1647,413,0,0
48300,1534,403,0,0
48400,1503,392,0,0
48500,1548,375,0,0
48600,1365,311,0,0
48700,1274,327,0,0
48800,1093,287,0,0
48900,1241,297,0,0
49000,1123,275,0,0
49100,937,252,0,0
49200,926,241,0,0
49300,1269,325,0,0
49400,1390,352,0,0
49500,1022,275,0,0
49600,1163,300,0,0
49700,1353,350,0,0
49800,1312,333,0,0
49900,1160,286,0,0
50000,1066,295,0,0
50100,1038,272,0,0
50200,888,242,0,0
50300,1157,320,0,0
50400,1136,308,0,0
50500,1639,459,0,0
50600,1456,366,0,0
50700,1560,427,0,0
50800,1554,384,0,0
50900,1461,385,0,0
51000,1413,392,0,0
51100,1736,477,0,0
51200,1657,428,0,0
51300,1509,410,0,0
51400,1463,389,0,0
51500,1396,398,0,0
51600,1575,430,0,0
51700,1582,420,0,0
51800,1443,371,0,0
51900,1252,326,0,0
52000,1242,322,0,0
52100,1424,378,0,0
52200,1185,335,0,0
52300,1472,372,0,0
52400,1438,375,0,0
52500,1243,341,0,0
52600,1237,339,0,0
52700,1090,301,0,0
52800,1195,302,0,0
52900,1320,341,0,0
53000,1225,304,0,0
53100,1076,264,0,0
53200,1425,372,0,0
53300,1618,392,0,0
53400,1357,329,0,0
53500,1132,318,0,0
53600,1098,304,0,0
53700,1260,309,0,0
53800,1219,346,0,0
53900,1424,358,0,0
54000,1547,411,0,0
54100,1416,390,0,0
54200,1474,350,0,0
54300,1532,396,0,0
54400,1412,374,0,0
54500,1389,360,0,0
54600,1439,392,0,0
54700,1445,357,0,0
54800,1470,361,0,0
54900,1412,352,0,0
55000,1351,335,0,0
55100,1482,389,0,0
55200,1413,387,0,0
55300,1451,365,0,0
55400,1535,365,0,0
55500,1159,304,0,0
55600,1170,305,0,0
55700,1284,313,0,0
55800,1003,252,0,0
55900,1186,305,0,0
56000,1070,288,0,0
56100,1039,256,0,0
56200,1216,310,0,0
56300,1201,304,0,0
56400,1501,403,0,0
56500,1573,393,0,0
56600,1717,403,0,0
56700,1419,337,0,0
56800,1393,332,0,0
56900,1547,417,0,0
57000,1850,479,0,0
57100,1607,417,0,0
57200,1414,369,0,0
57300,1461,387,0,0
57400,1473,359,0,0
57500,1431,392,0,0
57600,1568,430,0,0
57700,1617,449,0,0
57800,1450,365,0,0
57900,1745,495,0,0
58000,1544,440,0,0
58100,1647,426,0,0
58200,1405,365,0,0
58300,1225,309,0,0
58400,1181,313,0,0
58500,1380,355,0,0
58600,1403,322,0,0
58700,1491,394,0,0
58800,1303,312,0,0
58900,947,243,0,0
59000,1118,277,0,0
59100,1251,298,0,0
59200,1287,292,0,0
59300,1143,297,0,0
59400,1196,301,0,0
59500,1198,335,0,0
59600,1581,383,0,0
59700,1596,415,0,0
59800,1596,408,0,0
59900,1630,409,0,0
60000,1616,358,0,0
60100,1708,414,0,0
60200,1835,429,0,0
60300,1706,390,0,0
60400,1573,403,0,0
60500,1588,362,0,0
60600,1515,342,0,0
60700,1349,327,0,0
60800,1321,329,0,0
60900,1353,337,0,0
61000,1427,374,0,0
61100,1361,337,0,0
61200,1480,389,0,0
61300,1240,311,0,0
61400,1252,337,0,0
61500,1385,323,0,0
61600,1346,320,0,0
61700,1493,372,0,0
61800,1473,365,0,0
61900,1391,339,0,0
62000,1416,312,0,0
62100,1444,347,0,0
62200,1326,331,0,0
62300,1529,410,0,0
62400,1308,331,0,0
62500,1196,304,0,0
62600,1200,271,0,0
62700,1364,360,0,0
62800,1321,316,0,0
62900,1205,300,0,0
63000,1474,363,0,0
63100,1378,354,0,0
63200,1369,357,0,0
63300,1113,257,0,0
63400,1103,272,0,0
63500,1243,312,0,0
63600,1688,428,0,0
63700,1563,401,0,0
63800,1381,333,0,0
63900,1624,396,0,0
64000,1494,331,0,0
64100,1309,307,0,0
64200,1466,359,0,0
64300,1162,286,0,0
64400,1322,295,0,0
64500,1626,410,0,0
64600,1413,374,0,0
64700,1575,401,0,0
64800,1485,358,0,0
64900,1489,381,0,0
65000,1263,289,0,0
65100,1167,266,0,0
65200,1264,302,0,0
65300,1266,307,0,0
65400,1346,305,0,0
65500,1132,248,0,0
65600,1118,246,0,0
65700,995,201,0,0
65800,966,235,0,0
65900,1404,328,0,0
66000,1320,292,0,0
66100,1328,290,0,0
66200,1561,389,0,0
66300,1421,339,0,0
66400,1543,401,0,0
66500,1648,388,0,0
66600,1519,341,0,0
66700,1471,369,0,0
66800,1366,334,0,0
66900,1440,305,0,0
67000,1371,361,0,0
67100,1259,265,0,0
67200,1047,257,0,0
67300,848,212,0,0
67400,1165,256,0,0
67500,1356,306,0,0
67600,1247,299,0,0
67700,1354,340,0,0
67800,1414,337,0,0
67900,1792,415,0,0
68000,1656,394,0,0
68100,1089,262,0,0
68200,1293,294,0,0
68300,1260,317,0,0
68400,1129,278,0,0
68500,1157,285,0,0
68600,1528,344,0,0
68700,1522,371,0,0
68800,1656,421,0,0
68900,1296,325,0,0
69000,1297,323,0,0
69100,1316,318,0,0
69200,1516,337,0,0
69300,1421,341,0,0
69400,1440,355,0,0
69500,1555,394,0,0
69600,1404,364,0,0
69700,1214,314,0,0
69800,1356,351,0,0
69900,1305,315,0,0
70000,1482,373,0,0
70100,1533,377,0,0
70200,1671,408,0,0
70300,1558,392,0,0
70400,1483,410,0,0
70500,1694,405,0,0
70600,1505,378,0,0
70700,1322,343,0,0
70800,936,245,0,0
70900,1151,264,0,0
71000,1131,303,0,0
71100,1204,297,0,0
71200,1200,298,0,0
71300,1427,346,0,0
71400,1217,292,0,0
71500,1578,412,0,0
71600,1675,427,0,0
71700,1351,370,0,0
71800,1461,405,0,0
71900,1361,345,0,0
72000,1539,396,0,0
72100,1422,377,0,0
72200,1472,401,0,0
72300,1549,419,0,0
72400,1519,421,0,0
72500,1559,409,0,0
72600,1365,362,0,0
72700,1228,306,0,0
72800,1617,404,0,0
72900,1750,451,0,0
73000,1539,424,0,0
73100,1484,365,0,0
73200,1918,511,0,0
73300,1699,442,0,0
73400,1666,404,0,0
73500,1702,433,0,0
73600,1530,370,0,0
73700,1299,345,0,0
73800,1317,312,0,0
73900,1523,416,0,0
74000,1458,363,0,0
74100,1351,341,0,0
74200,1099,269,0,0
74300,1269,298,0,0
74400,1115,247,0,0
74500,1183,296,0,0
74600,1288,307,0,0
74700,1230,318,0,0
74800,1395,336,0,0
74900,1393,354,0,0
75000,1437,359,0,0
75100,1524,368,0,0
75200,1047,262,0,0
75300,1228,275,0,0
75400,1351,331,0,0
75500,1161,298,0,0
75600,1307,335,0,0
75700,1027,234,0,0
75800,591,148,0,0
75900,605,145,0,0
76000,1119,274,0,0
76100,805,193,0,0
76200,797,196,0,0
76300,978,261,0,0
76400,1330,340,0,0
76500,1316,325,0,0
76600,1190,275,0,0
76700,1066,256,0,0
76800,953,228,0,0
76900,940,210,0,0
77000,1133,282,0,0
77100,1520,387,0,0
77200,1516,374,0,0
77300,1879,498,0,0
77400,1436,372,0,0
77500,1073,295,0,0
77600,1109,282,0,0
77700,1522,383,0,0
77800,1203,295,0,0
77900,1116,277,0,0
78000,1329,343,0,0
78100,1323,335,0,0
78200,1504,364,0,0
78300,1543,385,0,0
78400,1298,332,0,0
78500,1065,294,0,0
78600,1077,272,0,0
78700,1101,280,0,0
78800,1275,337,0,0
78900,1518,392,0,0
79000,1356,323,0,0
79100,1454,368,0,0
79200,1519,392,0,0
79300,1283,302,0,0
79400,1095,253,0,0
79500,1294,299,0,0
79600,1471,379,0,0
79700,1406,318,0,0
79800,1156,308,0,0
79900,1329,331,0,0
80000,1372,311,0,0
80100,1381,326,0,0
80200,1174,299,0,0
80300,1363,303,0,0
80400,1321,301,0,0
80500,1413,360,0,0
80600,1124,277,0,0
80700,1174,290,0,0
80800,1185,275,0,0
80900,1184,289,0,0
81000,1399,327,0,0
81100,1044,231,0,0
81200,906,248,0,0
81300,1148,295,0,0
81400,1351,349,0,0
81500,1481,371,0,0
81600,1188,314,0,0
81700,1311,318,0,0
81800,1217,312,0,0
81900,1342,360,0,0
82000,1375,360,0,0
82100,1274,352,0,0
82200,1384,347,0,0
82300,1044,234,0,0
82400,992,240,0,0
82500,1256,298,0,0
82600,1137,271,0,0
82700,1204,310,0,0
82800,1152,279,0,0
82900,1381,389,0,0
83000,1647,398,0,0
83100,1640,397,0,0
83200,1481,385,0,0
83300,1272,325,0,0
83400,1491,344,0,0
83500,1458,378,0,0
83600,1369,343,0,0
83700,1644,412,0,0
83800,1698,428,0,0
83900,1542,368,0,0
84000,1342,314,0,0
84100,1509,373,0,0
84200,1467,383,0,0
84300,1276,294,0,0
84400,1464,387,0,0
84500,1587,368,0,0
84600,1483,336,0,0
84700,1309,337,0,0
84800,1110,300,0,0
84900,887,210,0,0
85000,1020,254,0,0
85100,882,235,0,0
85200,853,212,0,0
85300,836,204,0,0
85400,755,179,0,0
85500,831,213,0,0
85600,999,233,0,0
85700,985,220,0,0
85800,1030,246,0,0
85900,1152,296,0,0
86000,1023,249,0,0
86100,1156,312,0,0
86200,1181,281,0,0
86300,1273,333,0,0
86400,1219,293,0,0
86500,1432,346,0,0
86600,1388,321,0,0
86700,1416,307,0,0
86800,1641,395,0,0
86900,1474,367,0,0
87000,1519,367,0,0
87100,1698,414,0,0
87200,1356,331,0,0
87300,1275,378,0,0
87400,1562,389,0,0
87500,1758,502,0,0
87600,1669,461,0,0
87700,1514,398,0,0
87800,1584,420,0,0
87900,1625,409,0,0
88000,1510,394,0,0
88100,1313,330,0,0
88200,1392,391,0,0
88300,1575,398,0,0
88400,1503,380,0,0
88500,1262,327,0,0
88600,1340,341,0,0
88700,1439,389,0,0
88800,1555,426,0,0
88900,1538,419,0,0
89000,1172,324,0,0
89100,1472,388,0,0
89200,1993,541,0,0
89300,1605,437,0,0
89400,1224,360,0,0
89500,1449,378,0,0
89600,1496,405,0,0
89700,1559,462,0,0
89800,1660,451,0,0
89900,1687,474,0,0
90000,1736,478,0,0
90100,1696,490,0,0
90200,1291,369,0,0
90300,1101,308,0,0
90400,944,256,0,0
90500,1109,308,0,0
90600,1326,384,0,0
90700,1416,421,0,0
90800,1411,428,0,0
90900,1587,452,0,0
91000,1881,514,0,0
91100,1692,485,0,0
91200,1513,445,0,0
91300,1647,471,0,0
91400,1608,445,0,0
91500,1754,518,0,0
91600,1363,414,0,0
91700,1288,359,0,0
91800,1398,380,0,0
91900,1485,402,0,0
92000,1945,529,0,0
92100,1933,540,0,0
92200,1978,574,0,0
92300,1540,420,0,0
92400,1583,445,0,0
92500,1534,427,0,0
92600,1124,328,0,0
92700,1684,449,0,0
92800,1876,530,0,0
92900,1896,549,0,0
93000,2041,572,0,0
93100,1673,465,0,0
93200,1729,515,0,0
93300,1915,527,0,0
93400,1758,492,0,0
93500,1762,526,0,0
93600,1561,460,0,0
93700,1498,439,0,0
93800,1320,370,0,0
93900,1412,401,0,0
94000,1305,308,0,0
94100,1287,325,0,0
94200,1487,393,0,0
94300,1645,470,0,0
94400,1667,462,0,0
94500,1437,383,0,0
94600,1500,425,0,0
94700,1345,377,0,0
94800,1461,365,0,0
94900,1508,356,0,0
95000,1418,344,0,0
95100,1430,351,0,0
95200,1617,413,0,0
95300,1622,447,0,0
95400,1723,469,0,0
95500,1536,410,0,0
95600,1505,389,0,0
95700,1384,378,0,0
95800,977,255,0,0
95900,985,240,0,0
96000,1082,270,0,0
96100,1068,252,0,0
96200,1154,319,0,0
96300,1445,392,0,0
96400,1462,375,0,0
96500,1469,387,0,0
96600,1679,449,0,0
96700,1602,441,0,0
96800,1399,387,0,0
96900,1542,400,0,0
97000,1539,447,0,0
97100,1476,420,0,0
97200,1447,413,0,0
97300,1387,351,0,0
97400,1217,307,0,0
97500,1100,282,0,0
97600,1331,324,0,0
97700,1437,383,0,0
97800,1431,381,0,0
97900,1464,362,0,0
98000,1677,432,0,0
98100,1834,491,0,0
98200,1786,473,0,0
98300,1724,474,0,0
98400,1630,429,0,0
98500,1790,513,0,0
98600,1929,516,0,0
98700,1699,442,0,0
98800,1763,444,0,0
98900,1807,500,0,0
99000,1649,458,0,0
99100,1647,471,0,0
99200,1798,517,0,0
99300,1888,552,0,0
99400,1575,455,0,0
99500,1500,400,0,0
99600,1608,431,0,0
99700,1369,350,0,0
99800,1400,396,0,0
99900,1465,363,0,0
100000,1601,426,0,0
