update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
30500,9010,0,0,0,0
30600,6825,0,0,0,0
30700,6780,0,0,0,0
30800,8415,0,0,0,0
30900,7855,0,0,0,0
31000,10985,0,0,0,0
31100,10795,0,0,0,0
31200,9515,0,0,0,0
31300,8610,0,0,0,0
31400,10600,0,0,0,0
31500,11290,0,0,0,0
31600,9125,0,0,0,0
31700,8635,0,0,0,0
31800,8115,0,0,0,0
31900,9590,0,0,0,0
32000,7595,0,0,0,0
32100,6915,0,0,0,0
32200,8205,0,0,0,0
32300,9405,0,0,0,0
32400,8700,0,0,0,0
32500,11030,0,0,0,0
32600,13675,0,0,0,0
32700,15725,0,0,0,0
32800,15395,0,0,0,0
32900,12180,0,0,0,0
33000,13555,0,0,0,0
33100,10780,0,0,0,0
33200,9210,0,0,0,0
33300,10020,0,0,0,0
33400,11910,0,0,0,0
33500,13455,0,0,0,0
33600,9975,0,0,0,0
33700,9615,0,0,0,0
33800,9940,0,0,0,0
33900,10305,0,0,0,0
34000,8625,0,0,0,0
34100,10220,0,0,0,0
34200,8030,0,0,0,0
34300,7555,0,0,0,0
34400,8925,0,0,0,0
34500,9360,0,0,0,0
34600,10880,0,0,0,0
34700,13330,0,0,0,0
34800,12355,0,0,0,0
34900,11470,0,0,0,0
35000,10780,0,0,0,0
35100,11215,0,0,0,0
35200,11620,0,0,0,0
35300,9285,0,0,0,0
35400,8340,0,0,0,0
35500,10275,0,0,0,0
35600,11160,0,0,0,0
35700,8405,0,0,0,0
35800,7915,0,0,0,0
35900,6030,0,0,0,0
36000,5630,0,0,0,0
36100,5750,0,0,0,0
36200,5650,0,0,0,0
36300,6815,0,0,0,0
36400,7870,0,0,0,0
36500,8645,0,0,0,0
36600,11150,0,0,0,0
36700,13860,0,0,0,0
36800,15210,0,0,0,0
36900,17060,0,0,0,0
37000,14215,0,0,0,0
37100,13275,0,0,0,0
37200,12895,0,0,0,0
37300,12235,0,0,0,0
37400,12265,0,0,0,0
37500,13425,0,0,0,0
37600,12370,0,0,0,0
37700,13275,0,0,0,0
37800,10950,0,0,0,0
37900,15555,0,0,0,0
38000,15455,0,0,0,0
38100,12315,0,0,0,0
38200,13365,0,0,0,0
38300,14115,0,0,0,0
38400,13565,0,0,0,0
38500,12140,0,0,0,0
38600,12180,0,0,0,0
38700,14130,0,0,0,0
38800,13865,0,0,0,0
38900,16785,0,0,0,0
39000,15015,0,0,0,0
39100,13705,0,0,0,0
39200,14790,0,0,0,0
39300,13400,0,0,0,0
39400,11645,0,0,0,0
39500,12005,0,0,0,0
39600,11345,0,0,0,0
39700,10375,0,0,0,0
39800,9575,0,0,0,0
39900,8915,0,0,0,0
40000,9240,0,0,0,0
40100,8895,0,0,0,0
40200,9745,0,0,0,0
40300,12960,0,0,0,0
40400,9990,0,0,0,0
40500,7180,0,0,0,0
40600,7225,0,0,0,0
40700,8125,0,0,0,0
40800,9600,0,0,0,0
40900,8760,0,0,0,0
41000,10575,0,0,0,0
41100,14130,0,0,0,0
41200,13340,0,0,0,0
41300,14295,0,0,0,0
41400,13315,0,0,0,0
41500,13010,0,0,0,0
41600,9480,0,0,0,0
41700,9760,0,0,0,0
41800,11165,0,0,0,0
41900,12635,0,0,0,0
42000,11685,0,0,0,0
42100,13980,0,0,0,0
42200,13790,0,0,0,0
42300,13820,0,0,0,0
42400,13405,0,0,0,0
42500,11435,0,0,0,0
42600,10520,0,0,0,0
42700,9735,0,0,0,0
42800,12700,0,0,0,0
42900,11940,0,0,0,0
43000,12570,0,0,0,0
43100,13685,0,0,0,0
43200,14510,0,0,0,0
43300,12460,0,0,0,0
43400,12705,0,0,0,0
43500,13450,0,0,0,0
43600,12490,0,0,0,0
43700,13245,0,0,0,0
43800,12345,0,0,0,0
43900,10765,0,0,0,0
44000,11875,0,0,0,0
44100,13165,0,0,0,0
44200,15285,0,0,0,0
44300,18360,0,0,0,0
44400,14135,0,0,0,0
44500,14950,0,0,0,0
44600,13820,0,0,0,0
44700,13380,0,0,0,0
44800,14620,0,0,0,0
44900,13155,0,0,0,0
45000,11745,0,0,0,0
45100,11795,0,0,0,0
45200,12470,0,0,0,0
45300,13225,0,0,0,0
45400,12495,0,0,0,0
45500,13420,0,0,0,0
45600,14795,0,0,0,0
45700,15420,0,0,0,0
45800,14515,0,0,0,0
45900,15365,0,0,0,0
46000,15675,0,0,0,0
46100,12375,0,0,0,0
46200,12075,0,0,0,0
46300,11715,0,0,0,0
46400,10385,0,0,0,0
46500,11085,0,0,0,0
46600,9220,0,0,0,0
46700,10070,0,0,0,0
46800,8440,0,0,0,0
46900,7855,0,0,0,0
47000,8670,0,0,0,0
47100,9315,0,0,0,0
47200,8295,0,0,0,0
47300,7105,0,0,0,0
47400,8515,0,0,0,0
47500,10110,0,0,0,0
47600,9900,0,0,0,0
47700,11200,0,0,0,0
47800,15050,0,0,0,0
47900,16640,0,0,0,0
48000,13475,0,0,0,0
48100,12775,0,0,0,0
48200,8550,0,0,0,0
48300,10440,0,0,0,0
48400,10205,0,0,0,0
48500,10850,0,0,0,0
48600,10275,0,0,0,0
48700,11065,0,0,0,0
48800,10185,0,0,0,0
48900,9290,0,0,0,0
49000,7595,0,0,0,0
49100,7735,0,0,0,0
49200,9320,0,0,0,0
49300,10310,0,0,0,0
49400,11060,0,0,0,0
49500,12270,0,0,0,0
49600,10420,0,0,0,0
49700,13715,0,0,0,0
49800,13835,0,0,0,0
49900,13040,0,0,0,0
50000,13990,0,0,0,0
50100,13365,0,0,0,0
50200,13935,0,0,0,0
50300,11615,0,0,0,0
50400,12110,0,0,0,0
50500,9745,0,0,0,0
50600,11160,0,0,0,0
50700,11530,0,0,0,0
50800,12035,0,0,0,0
50900,10140,0,0,0,0
51000,10215,0,0,0,0
51100,8480,0,0,0,0
51200,6485,0,0,0,0
51300,6760,0,0,0,0
51400,6050,0,0,0,0
51500,6170,0,0,0,0
51600,5860,0,0,0,0
51700,6125,0,0,0,0
51800,5625,0,0,0,0
51900,6335,0,0,0,0
52000,7445,0,0,0,0
52100,9690,0,0,0,0
52200,10665,0,0,0,0
52300,10555,0,0,0,0
52400,10255,0,0,0,0
52500,9405,0,0,0,0
52600,9460,0,0,0,0
52700,8915,0,0,0,0
52800,7740,0,0,0,0
52900,8325,0,0,0,0
53000,6940,0,0,0,0
53100,10140,0,0,0,0
53200,8390,0,0,0,0
53300,7005,0,0,0,0
53400,8975,0,0,0,0
53500,10890,0,0,0,0
53600,10350,0,0,0,0
53700,11470,0,0,0,0
53800,11480,0,0,0,0
53900,7965,0,0,0,0
54000,6850,0,0,0,0
54100,8635,0,0,0,0
54200,11745,0,0,0,0
54300,13830,0,0,0,0
54400,12830,0,0,0,0
54500,13050,0,0,0,0
54600,16535,0,0,0,0
54700,16015,0,0,0,0
54800,13235,0,0,0,0
54900,12645,0,0,0,0
55000,12815,0,0,0,0
55100,13945,0,0,0,0
55200,13410,0,0,0,0
55300,12005,0,0,0,0
55400,12930,0,0,0,0
55500,14590,0,0,0,0
55600,11830,0,0,0,0
55700,11135,0,0,0,0
55800,13640,0,0,0,0
55900,13840,0,0,0,0
56000,12500,0,0,0,0
56100,11000,0,0,0,0
56200,8460,0,0,0,0
56300,9965,0,0,0,0
56400,9675,0,0,0,0
56500,8445,0,0,0,0
56600,8555,0,0,0,0
56700,9690,0,0,0,0
56800,11890,0,0,0,0
56900,15510,0,0,0,0
57000,17095,0,0,0,0
57100,16785,0,0,0,0
57200,14415,0,0,0,0
57300,11950,0,0,0,0
57400,12470,0,0,0,0
57500,11010,0,0,0,0
57600,10790,0,0,0,0
57700,9590,0,0,0,0
57800,10470,0,0,0,0
57900,9275,0,0,0,0
58000,10170,0,0,0,0
58100,9755,0,0,0,0
58200,10050,0,0,0,0
58300,8575,0,0,0,0
58400,9375,0,0,0,0
58500,10800,0,0,0,0
58600,12170,0,0,0,0
58700,10145,0,0,0,0
58800,7760,0,0,0,0
58900,9150,0,0,0,0
59000,10795,0,0,0,0
59100,11170,0,0,0,0
59200,10765,0,0,0,0
59300,11880,0,0,0,0
59400,13730,0,0,0,0
59500,13475,0,0,0,0
59600,15680,0,0,0,0
59700,13110,0,0,0,0
59800,9885,0,0,0,0
59900,7010,0,0,0,0
60000,7110,0,0,0,0
60100,9715,0,0,0,0
60200,12855,0,0,0,0
60300,12350,0,0,0,0
60400,11510,0,0,0,0
60500,8760,0,0,0,0
60600,7785,0,0,0,0
60700,10210,0,0,0,0
60800,11980,0,0,0,0
60900,14885,0,0,0,0
61000,12830,0,0,0,0
61100,11220,0,0,0,0
61200,11615,0,0,0,0
61300,11295,0,0,0,0
61400,9515,0,0,0,0
61500,7655,0,0,0,0
61600,7275,0,0,0,0
61700,8800,0,0,0,0
61800,11235,0,0,0,0
61900,11790,0,0,0,0
62000,12080,0,0,0,0
62100,11355,0,0,0,0
62200,9780,0,0,0,0
62300,10535,0,0,0,0
62400,8570,0,0,0,0
62500,8715,0,0,0,0
62600,8735,0,0,0,0
62700,9765,0,0,0,0
62800,11155,0,0,0,0
62900,13970,0,0,0,0
63000,13355,0,0,0,0
63100,12250,0,0,0,0
63200,11700,0,0,0,0
63300,15695,0,0,0,0
63400,13400,0,0,0,0
63500,12640,0,0,0,0
63600,14060,0,0,0,0
63700,13550,0,0,0,0
63800,16140,0,0,0,0
63900,15540,0,0,0,0
64000,12485,0,0,0,0
64100,13235,0,0,0,0
64200,13090,0,0,0,0
64300,14550,0,0,0,0
64400,15215,0,0,0,0
64500,13910,0,0,0,0
64600,15170,0,0,0,0
64700,13510,0,0,0,0
64800,12990,0,0,0,0
64900,11660,0,0,0,0
65000,11220,0,0,0,0
65100,13255,0,0,0,0
65200,13615,0,0,0,0
65300,10555,0,0,0,0
65400,9215,0,0,0,0
65500,10515,0,0,0,0
65600,11080,0,0,0,0
65700,11795,0,0,0,0
65800,12315,0,0,0,0
65900,8925,0,0,0,0
66000,8155,0,0,0,0
66100,5160,0,0,0,0
66200,4340,0,0,0,0
66300,4230,0,0,0,0
66400,4085,0,0,0,0
66500,5125,0,0,0,0
66600,5890,0,0,0,0
66700,7095,0,0,0,0
66800,7715,0,0,0,0
66900,7380,0,0,0,0
67000,9355,0,0,0,0
67100,11480,0,0,0,0
67200,10230,0,0,0,0
67300,10100,0,0,0,0
67400,9760,0,0,0,0
67500,12320,0,0,0,0
67600,11330,0,0,0,0
67700,10895,0,0,0,0
67800,10350,0,0,0,0
67900,11315,0,0,0,0
68000,11985,0,0,0,0
68100,10885,0,0,0,0
68200,13465,0,0,0,0
68300,11670,0,0,0,0
68400,8930,0,0,0,0
68500,12620,0,0,0,0
68600,13605,0,0,0,0
68700,13135,0,0,0,0
68800,12675,0,0,0,0
68900,11855,0,0,0,0
69000,9670,0,0,0,0
69100,10940,0,0,0,0
69200,10285,0,0,0,0
69300,10300,0,0,0,0
69400,11415,0,0,0,0
69500,10465,0,0,0,0
69600,11345,0,0,0,0
69700,10885,0,0,0,0
69800,12045,0,0,0,0
69900,13455,0,0,0,0
70000,9625,0,0,0,0
70100,8300,0,0,0,0
70200,7880,0,0,0,0
70300,8900,0,0,0,0
70400,10455,0,0,0,0
70500,11510,0,0,0,0
70600,12425,0,0,0,0
70700,10985,0,0,0,0
70800,11905,0,0,0,0
70900,13105,0,0,0,0
71000,11665,0,0,0,0
71100,11825,0,0,0,0
71200,10830,0,0,0,0
71300,9165,0,0,0,0
71400,10820,0,0,0,0
71500,10170,0,0,0,0
71600,9630,0,0,0,0
71700,10645,0,0,0,0
71800,10275,0,0,0,0
71900,13215,0,0,0,0
72000,12325,0,0,0,0
72100,11855,0,0,0,0
72200,9575,0,0,0,0
72300,6910,0,0,0,0
72400,8115,0,0,0,0
72500,9655,0,0,0,0
72600,9680,0,0,0,0
72700,9650,0,0,0,0
72800,11715,0,0,0,0
72900,12960,0,0,0,0
73000,11925,0,0,0,0
73100,9870,0,0,0,0
73200,11525,0,0,0,0
73300,11475,0,0,0,0
73400,11430,0,0,0,0
73500,13295,0,0,0,0
73600,12485,0,0,0,0
73700,11165,0,0,0,0
73800,9355,0,0,0,0
73900,10060,0,0,0,0
74000,11605,0,0,0,0
74100,13820,0,0,0,0
74200,13480,0,0,0,0
74300,14635,0,0,0,0
74400,14815,0,0,0,0
74500,11775,0,0,0,0
74600,10535,0,0,0,0
74700,10440,0,0,0,0
74800,13900,0,0,0,0
74900,14950,0,0,0,0
75000,15370,0,0,0,0
75100,10910,0,0,0,0
75200,10800,0,0,0,0
75300,9935,0,0,0,0
75400,8495,0,0,0,0
75500,8150,0,0,0,0
75600,8815,0,0,0,0
75700,8690,0,0,0,0
75800,8190,0,0,0,0
75900,8070,0,0,0,0
76000,9725,0,0,0,0
76100,11115,0,0,0,0
76200,11400,0,0,0,0
76300,10880,0,0,0,0
76400,8575,0,0,0,0
76500,7940,0,0,0,0
76600,10405,0,0,0,0
76700,10325,0,0,0,0
76800,11430,0,0,0,0
76900,11075,0,0,0,0
77000,14085,0,0,0,0
77100,14135,0,0,0,0
77200,10610,0,0,0,0
77300,10010,0,0,0,0
77400,8485,0,0,0,0
77500,8655,0,0,0,0
77600,9710,0,0,0,0
77700,11020,0,0,0,0
77800,12695,0,0,0,0
77900,11450,0,0,0,0
78000,14275,0,0,0,0
78100,11375,0,0,0,0
78200,10425,0,0,0,0
78300,9895,0,0,0,0
78400,9425,0,0,0,0
78500,11895,0,0,0,0
78600,12980,0,0,0,0
78700,12195,0,0,0,0
78800,10080,0,0,0,0
78900,12490,0,0,0,0
79000,10115,0,0,0,0
79100,13855,0,0,0,0
79200,13575,0,0,0,0
79300,13695,0,0,0,0
79400,12355,0,0,0,0
79500,11835,0,0,0,0
79600,11770,0,0,0,0
79700,11870,0,0,0,0
79800,13315,0,0,0,0
79900,12295,0,0,0,0
80000,13685,0,0,0,0
80100,13175,0,0,0,0
80200,12580,0,0,0,0
80300,10430,0,0,0,0
80400,10180,0,0,0,0
80500,12100,0,0,0,0
80600,14715,0,0,0,0
80700,11690,0,0,0,0
80800,9460,0,0,0,0
80900,9055,0,0,0,0
81000,11260,0,0,0,0
81100,10740,0,0,0,0
81200,12315,0,0,0,0
81300,11180,0,0,0,0
81400,9910,0,0,0,0
81500,9130,0,0,0,0
81600,10215,0,0,0,0
81700,10835,0,0,0,0
81800,15195,0,0,0,0
81900,10870,0,0,0,0
82000,11000,0,0,0,0
82100,10970,0,0,0,0
82200,13570,0,0,0,0
82300,13335,0,0,0,0
82400,14955,0,0,0,0
82500,15435,0,0,0,0
82600,15685,0,0,0,0
82700,14795,0,0,0,0
82800,12235,0,0,0,0
82900,13510,0,0,0,0
83000,14200,0,0,0,0
83100,14795,0,0,0,0
83200,15120,0,0,0,0
83300,13215,0,0,0,0
83400,15080,0,0,0,0
83500,15445,0,0,0,0
83600,12705,0,0,0,0
83700,12355,0,0,0,0
83800,11785,0,0,0,0
83900,11595,0,0,0,0
84000,10215,0,0,0,0
84100,10690,0,0,0,0
84200,9725,0,0,0,0
84300,10545,0,0,0,0
84400,12515,0,0,0,0
84500,12485,0,0,0,0
84600,10415,0,0,0,0
84700,8880,0,0,0,0
84800,7945,0,0,0,0
84900,8520,0,0,0,0
85000,9805,0,0,0,0
85100,11975,0,0,0,0
85200,11505,0,0,0,0
85300,13210,0,0,0,0
85400,12095,0,0,0,0
85500,10355,0,0,0,0
85600,11110,0,0,0,0
85700,11905,0,0,0,0
85800,11830,0,0,0,0
85900,12080,0,0,0,0
86000,12335,0,0,0,0
86100,12295,0,0,0,0
86200,12220,0,0,0,0
86300,13010,0,0,0,0
86400,12260,0,0,0,0
86500,12600,0,0,0,0
86600,12435,0,0,0,0
86700,12320,0,0,0,0
86800,9805,0,0,0,0
86900,10135,0,0,0,0
87000,9480,0,0,0,0
87100,8450,0,0,0,0
87200,9270,0,0,0,0
87300,8330,0,0,0,0
87400,10070,0,0,0,0
87500,11400,0,0,0,0
87600,13025,0,0,0,0
87700,13275,0,0,0,0
87800,9955,0,0,0,0
87900,11880,0,0,0,0
88000,12315,0,0,0,0
88100,11465,0,0,0,0
88200,12895,0,0,0,0
88300,15120,0,0,0,0
88400,16335,0,0,0,0
88500,14360,0,0,0,0
88600,10810,0,0,0,0
88700,12420,0,0,0,0
88800,11225,0,0,0,0
88900,11730,0,0,0,0
89000,8610,0,0,0,0
89100,8690,0,0,0,0
89200,9705,0,0,0,0
89300,10920,0,0,0,0
89400,8865,0,0,0,0
89500,8955,0,0,0,0
89600,9505,0,0,0,0
89700,9885,0,0,0,0
89800,11460,0,0,0,0
89900,11400,0,0,0,0
90000,12570,0,0,0,0
90100,14125,0,0,0,0
90200,11730,0,0,0,0
90300,10700,0,0,0,0
90400,11190,0,0,0,0
90500,10785,0,0,0,0
90600,10445,0,0,0,0
90700,13430,0,0,0,0
90800,15160,0,0,0,0
90900,12030,0,0,0,0
91000,14235,0,0,0,0
91100,12140,0,0,0,0
91200,10000,0,0,0,0
91300,12715,0,0,0,0
91400,10865,0,0,0,0
